Time,Steering Wheel,Break,Activating Signal
11:56.989,1053,32767,0
11:57.004,1149,32767,0
11:57.032,1279,32767,0
11:57.047,1346,32767,0
11:57.076,1444,32767,0
11:57.090,1505,32767,0
11:57.103,1562,32767,0
11:57.120,1609,32767,0
11:57.147,1753,32767,0
11:57.164,1831,32767,0
11:57.191,2008,32767,0
11:57.208,2088,32767,0
11:57.223,2192,32767,0
11:57.253,2341,32767,0
11:57.267,2421,32767,0
11:57.282,2492,32767,0
11:57.313,2639,32767,0
11:57.329,2704,32767,0
11:57.346,2787,32767,0
11:57.371,2952,32767,0
11:57.387,3029,32767,0
11:57.401,3135,32767,0
11:57.430,3350,32767,0
11:57.443,3481,32767,0
11:57.473,3705,32767,0
11:57.486,3851,32767,0
11:57.516,4080,32767,0
11:57.529,4237,32767,0
11:57.544,4342,32767,0
11:57.572,4603,32767,0
11:57.586,4723,32767,0
11:57.603,4844,32767,0
11:57.630,5103,32767,0
11:57.645,5226,32767,0
11:57.673,5468,32767,0
11:57.689,5581,32767,0
11:57.703,5711,32767,0
11:57.732,5921,32767,0
11:57.745,6038,32767,0
11:57.776,6227,32767,0
11:57.789,6347,32767,0
11:57.802,6449,32767,0
11:57.832,6649,32767,0
11:57.846,6758,32767,0
11:57.861,6863,32767,0
11:57.889,7079,32767,0
11:57.905,7172,32767,0
11:57.932,7356,32767,0
11:57.949,7448,32767,0
11:57.963,7546,32767,0
11:57.993,7717,32767,0
11:58.006,7814,32767,0
11:58.022,7892,32767,0
11:58.052,8062,32767,0
11:58.066,8130,32767,0
11:58.084,8199,32767,0
11:58.110,8344,32767,0
11:58.125,8416,32767,0
11:58.151,8549,32767,0
11:58.169,8619,32767,0
11:58.182,8698,32767,0
11:58.213,8823,32767,0
11:58.227,8903,32767,0
11:58.242,8966,32767,0
11:58.271,9111,32767,0
11:58.285,9165,32767,0
11:58.301,9229,32767,0
11:58.328,9342,32767,0
11:58.344,9387,32767,0
11:58.371,9487,32767,0
11:58.387,9525,32767,0
11:58.400,9564,32767,0
11:58.431,9588,32767,0
11:58.445,9577,32767,0
11:58.475,9499,32767,0
11:58.488,9421,32767,0
11:58.502,9327,32767,0
11:58.531,9053,32767,0
11:58.546,8910,32767,0
11:58.563,8758,32767,0
11:58.589,8405,32767,0
11:58.606,8266,32767,0
11:58.632,7925,32767,0
11:58.647,7762,32767,0
11:58.661,7600,32767,0
11:58.691,7252,32767,0
11:58.705,7041,32767,0
11:58.734,6673,32767,0
11:58.748,6397,32767,0
11:58.763,6174,32767,0
11:58.791,5645,32767,0
11:58.804,5415,32767,0
11:58.821,5134,32767,0
11:58.849,4499,32767,0
11:58.866,4196,32767,0
11:58.892,3488,32767,0
11:58.908,3135,32767,0
11:58.921,2733,32767,0
11:58.950,2074,32767,0
11:58.964,1732,32767,0
11:58.993,1215,32767,0
11:59.007,932,32767,0
11:59.037,508,32767,0
11:59.053,265,32767,0
11:59.066,50,32767,0
11:59.083,-137,32767,0
11:59.109,-496,32767,0
11:59.124,-673,32767,0
11:59.150,-1033,32767,0
11:59.167,-1216,32767,0
11:59.191,-1609,32767,0
11:59.207,-1787,32767,0
11:59.233,-2221,32767,0
11:59.249,-2456,32767,0
11:59.266,-2743,32767,0
11:59.294,-3287,32767,0
11:59.308,-3582,32767,0
11:59.322,-3806,32767,0
11:59.350,-4410,32767,0
11:59.365,-4703,32767,0
11:59.393,-5291,32767,0
11:59.406,-5581,32767,0
11:59.422,-5884,32767,0
11:59.447,-6487,32767,0
11:59.464,-6781,32767,0
11:59.489,-7336,32767,0
11:59.505,-7580,32767,0
11:59.532,-8144,32767,0
11:59.548,-8425,32767,0
11:59.561,-8754,32767,0
11:59.590,-9212,32767,0
11:59.603,-9475,32767,0
11:59.632,-9853,32767,0
11:59.645,-10122,32767,0
11:59.677,-10494,32767,0
11:59.690,-10752,32767,0
11:59.703,-10953,32767,0
11:59.732,-11341,32767,0
11:59.746,-11537,32767,0
11:59.761,-11701,32767,0
11:59.787,-12087,32767,0
11:59.803,-12278,32767,0
11:59.830,-12646,32767,0
11:59.846,-12821,32767,0
11:59.861,-13026,32767,0
11:59.892,-13288,32767,0
11:59.906,-13404,32767,0
11:59.935,-13511,32767,0
